Status,ID,Tournament Name,Organizer,Title Sponsor,Start Date,End Date,Reg Deadline,State,Venue,Entry Fee (RM) per team,Prize Pool (RM),Cash Prize (RM),Merch Value (RM),Prize Pool Note,Skill Level,Event Type,Age Group,Pick Priority,Editorial Angle,Format Note,Player Note,Source Platform,Registration URL,Date Added,Last Checked,Notes
,MTPB-0121,LOL SOON KEE PICKLEBALL TOURNAMENT 2026,BNR Sports Management,LOL Soon Kee Desserts,5-Sep-2026,5-Sep-2026,31-Aug-2026,Klang Valley,"Connect 22 Racquet Club, Setapak, Kuala Lumpur",RM220/team,7200,6000,1200,,Men's/Mixed Doubles Combined 5.899,Men's/Mixed Doubles,,,,,,Sportssync,https://www.sportssync.asia/tournament/337,24-Aug-2026,24-Aug-2026,Reg closes 31-Aug or once 40 slots/category fill.
,MTPB-0122,Kejohanan Terbuka Pickleball Junior Putrajaya Siri Ke-2 2026,Putrajaya Pickleball Association (PUPA),,12-Sep-2026,12-Sep-2026,10-Sep-2026,Klang Valley,"11Pikelbola, Danau Golf, UKM Bangi, Selangor",RM40/player,0,0,0,Medals/merchandise only — no cash prize,Junior U10/U12/U15/U18 boys & girls,Junior Singles,"U10, U12, U15, U18",,,,,Sportssync,https://www.sportssync.asia/tournament/374,24-Aug-2026,24-Aug-2026,
,MTPB-0123,KBS Masters 2026,Adhwa Afnan Hafiy Bin Abdul Sani / PUPA,,12-Sep-2026,13-Sep-2026,4-Sep-2026,Klang Valley,"Court P4, Bukit Jalil",RM120/team,11200,11200,0,,"Women's/Men's/Mixed Doubles DUPR <5.8, Men's Doubles Open","Men's/Women's/Mixed Doubles",40+,,,,,Sportssync,https://www.sportssync.asia/tournament/268,24-Aug-2026,24-Aug-2026,
,MTPB-0124,[Black Pink Tour] CPC X ZURA SPORT@Tomaz Women's Doubles Combine <5.5,Alex Wu / Lee Sin Yin,Zura Sport Wear,12-Sep-2026,12-Sep-2026,11-Sep-2026,Klang Valley,"Tomaz Pickleball Club, Subang Jaya",RM148/team,6338,900,5438,Includes Black Pink jerseys for all 64 participants,Women's Doubles Combined <5.5,Women's Doubles,,,,,,Sportssync,https://www.sportssync.asia/tournament/366,24-Aug-2026,24-Aug-2026,
,MTPB-0125,Purple Queen Cup 2.0,Yipp Chi Jing,Herzclub x fem. x Hyprground,13-Sep-2026,13-Sep-2026,11-Sep-2026,Klang Valley,"Hyprground Courtyard, Kuchai Lama, Kuala Lumpur",RM160/team,1600,1600,0,,Women's Doubles DUPR 2.0–2.699,Women's Doubles,,,,,,Sportssync,https://www.sportssync.asia/tournament/387,24-Aug-2026,24-Aug-2026,
,MTPB-0126,P3 Men Doubles Tournament,Tan Meng Sean,P3 Courts,15-Sep-2026,15-Sep-2026,13-Sep-2026,Klang Valley,"P3 Midah, Taman Midah, Kuala Lumpur",RM150/team,1250,1250,0,,Men's Doubles Combined DUPR 6.299,Men's Doubles,,,,,,Sportssync,https://www.sportssync.asia/tournament/392,24-Aug-2026,24-Aug-2026,
,MTPB-0127,ACCAS Dink Showdown Mini Tournament 2026,Yap Wei Leong / The Magic Charm Events,,15-Sep-2026,15-Sep-2026,14-Sep-2026,Klang Valley,"Empire Pickle Club, Kemuning Utama",RM129/team,2728,2128,600,,Mixed Doubles Combined DUPR <6.599,Mixed Doubles,,,,,,Sportssync,https://www.sportssync.asia/tournament/302,24-Aug-2026,24-Aug-2026,Rescheduled from an original 7-Jul-2026 date.
,MTPB-0128,ECOSEGA 1st Anniversary Cup 2026,Chow Chee Keong,,19-Sep-2026,20-Sep-2026,18-Sep-2026,Klang Valley,"ECOSEGA Pickleball Club, Kepong, Kuala Lumpur",RM260/team (RM240 early bird until 1-Sep),7000,7000,0,,"Men's Doubles 6.0, Mixed Doubles 6.0",Men's/Mixed Doubles,,,,,,Sportssync,https://www.sportssync.asia/tournament/359,24-Aug-2026,24-Aug-2026,
,MTPB-0129,Black Pink Tour Husband & Wife <3.000,Alex Wu / Tomaz Pickleball Club,CPC X ZURA SPORT,26-Sep-2026,26-Sep-2026,24-Sep-2026,Klang Valley,"Tomaz Pickleball Club, Subang Jaya",RM148/team,2832,900,1932,,Husband & Wife Mixed Doubles — individual DUPR max 3.0,Mixed Doubles,,,,,,Sportssync,https://www.sportssync.asia/tournament/365,24-Aug-2026,24-Aug-2026,
,MTPB-0130,Play Fit First Serve Cup 2026,Playfit Events,Harvest Fruits,26-Sep-2026,26-Sep-2026,24-Sep-2026,Klang Valley,"Dink Arena, USJ, Subang Jaya",RM268/team (Fun Dink Challenge RM136),31956,31956,0,,"DUPR Combined ≤5.5; Age 70+/DUPR Combined ≤6.0; Fun Dink Challenge (open)","Men's/Women's/Mixed Doubles",70+,,,,"For players who have never placed top-3 on Sportssync, SWP or Baseline.",Sportssync,https://www.sportssync.asia/tournament/319,24-Aug-2026,24-Aug-2026,"""Non-podium players only"" angle — good editorial hook for beginners/intermediates."
,MTPB-0131,Lions Cup 2026 — Charity Pickleball Tournament 2.0,ATP Club (w/ Lions Club JB City & Leo-Lions Club of Johor Eternity),,26-Sep-2026,27-Sep-2026,20-Sep-2026,Johor,"ATP Club — Pickleball Johor Bahru, Masai",RM260/team,19500,19500,0,,"Novice Combined ≤5.5, Intermediate Combined ≤6.5","Men's/Women's/Mixed Doubles",,,,,,Sportssync,https://www.sportssync.asia/tournament/331,24-Aug-2026,24-Aug-2026,Charity event — proceeds support families/children with cancer/animal shelter/school meal programs. Sequel to the June Lions Cup Charity (MTPB-0038).
,MTPB-0132,PickleUnicorn - Clash Of Olympus Tournament,"Lee Sze Xian, PCL Kevin, Chin Hoev Quan, Aaron Shu Ken Wai",P3 Courts,26-Sep-2026,26-Sep-2026,24-Sep-2026,Klang Valley,"P3 Kuchai Lama, Kuala Lumpur",RM240/team,8800,5600,3200,,Men's/Mixed Doubles DUPR 2.0–2.8,Men's/Mixed Doubles,,,,,,Sportssync,https://www.sportssync.asia/tournament/350,24-Aug-2026,24-Aug-2026,
,MTPB-0133,Interstate Charity Master Cup 2026 (Negeri Sembilan),Lau Yao Rong,,26-Sep-2026,26-Sep-2026,24-Sep-2026,Negeri Sembilan,"Pickle One @ Lotus S2, Seremban","RM280/team (RM250 early bird until 6-Sep, code ICMC30)",30000,30000,0,,"Men's Doubles ≤6.5, Mixed Doubles ≤6.2, Women's Doubles ≤6.1","Men's/Women's/Mixed Doubles",,,,,,Sportssync,https://www.sportssync.asia/tournament/383,24-Aug-2026,24-Aug-2026,"Sister event to MTPB-0096 (Selangor edition, 1-Aug) — this is the Negeri Sembilan/Seremban leg of the Interstate Charity Master Cup series, not a duplicate."
,MTPB-0134,True Bakery Pickleball Tournament 2026,CHDL | JK Entertainment,True Bakery,27-Sep-2026,27-Sep-2026,14-Sep-2026,Klang Valley,"91 Sports Arena, Subang Jaya",RM250–RM300/team (varies by category),51800,24800,27000,,"Men's/Women's/Mixed Doubles ≤5.8 and ≤6.8; Parent & Child (≤17)","Men's/Women's/Mixed Doubles, Parent & Child",≤17,,,,,Sportssync,https://www.sportssync.asia/tournament/153,24-Aug-2026,24-Aug-2026,
,MTPB-0135,THE INTERCLUB BATTLE Powered by Toyota Panglima City Motor,Lau Shyan Jhin,Toyota Panglima City Motor,27-Sep-2026,27-Sep-2026,20-Sep-2026,Klang Valley,"KSP (KS Picklepoint), Klang",RM600/team (6 players),4600,4600,0,,Team Combined DUPR 17 (≤3.2/player),Team Event,,,,,,Sportssync,https://www.sportssync.asia/tournament/389,24-Aug-2026,24-Aug-2026,
,MTPB-0136,7 Pickleball Tournament 2026,Jovin Liew / Aaron,,3-Oct-2026,3-Oct-2026,30-Sep-2026,Klang Valley,The Hood,RM220/team (Novice); RM260/team (Intermediate),24900,24900,0,,"Novice ≤2.75, Intermediate ≤3.5","Men's/Women's/Mixed Doubles",,,,,,Sportssync,https://www.sportssync.asia/tournament/356,24-Aug-2026,24-Aug-2026,
,MTPB-0137,Ultra Cup 2026,Yap Yit How / Lee Etienne,Ultra Sports Center,3-Oct-2026,3-Oct-2026,27-Sep-2026,Klang Valley,"Ultra Sports Center @ Selayang 168, Batu Caves",RM270–RM320/team (early bird discounts available),21200,19200,2000,,"Novice ≤3.099, Novice Advance ≤3.5",Men's/Mixed Doubles,,,,,,Sportssync,https://www.sportssync.asia/tournament/376,24-Aug-2026,24-Aug-2026,
,MTPB-0138,PickleSmash Team Event 30+ Edition,Vincent Tee,,10-Oct-2026,11-Oct-2026,7-Oct-2026,Klang Valley,Play@Bkgcr,"RM800–RM1,000/team",14000,14000,0,,"≤3.999 and ≤3.299 (age 30+)",Team Event,30+,,,,,Sportssync,https://www.sportssync.asia/tournament/278,24-Aug-2026,24-Aug-2026,"Venue listed only as ""Play@Bkgcr"" — confirm exact location before publishing."
,MTPB-0139,PLM Johor Bahru Open 2026,Clifford Tan Yee Siew,,10-Oct-2026,11-Oct-2026,18-Sep-2026,Johor,"ATP Club — Pickleball Johor Bahru, Masai",RM300–RM380/team,38600,38600,0,,"19+/35+/50+ divisions, 0.5 DUPR brackets; Junior U15/U18","Men's/Women's/Mixed Doubles, Singles, Junior","U15, U18, 35+, 50+",,,,,Sportssync,https://www.sportssync.asia/tournament/327,24-Aug-2026,24-Aug-2026,
,MTPB-0140,Regal Rally @ Battle of the Year 2026,"Jovin Liew, Aaron, Regal Rally Recreation Club, TFS",TOFA Marine Engineering (M) Sdn Bhd,26-Nov-2026,29-Nov-2026,24-Nov-2026,Klang Valley,"PLAYA Racquet Club @ PARC Subang, Subang Jaya, Selangor","RM300/team (Novice), RM350/team (Intermediate), RM1,200/team (Team Event, 6 players)",112400,55900,56500,,"Novice Combined ≤5.5, Intermediate Combined ≤6.5, Team Combined ≤20","Men's/Women's/Mixed Doubles, Team Event, Media/Celebrity Showcase",,,,,,Sportssync,https://www.sportssync.asia/tournament/357,24-Aug-2026,24-Aug-2026,Multi-day flagship event (4 days) — strong feature/THE PICK candidate for a November drop.
,MTPB-0141,Joycup Championship 2026,TBC,,10-Oct-2026,11-Oct-2026,TBC,Klang Valley,"PJ Sports Club (venue TBC)",TBC,24800,,,"RM24,800 total per index listing — breakdown not yet published.",TBC,TBC,,,,,,Sportssync,https://www.sportssync.asia/tournament/index,24-Aug-2026,24-Aug-2026,"Individual page marked ""Details coming soon"" as of 24-Aug-2026 scan — no numeric tournament ID assigned yet. Re-check closer to date for fee/categories/reg link."
,MTPB-0142,Paleta Sakka Pickleball Championship,TBC,,28-Nov-2026,28-Nov-2026,TBC,Sarawak,"Star Pickleball, Kuching",TBC,,,,Not yet published.,TBC,TBC,,,,,,Sportssync,https://www.sportssync.asia/tournament/index,24-Aug-2026,24-Aug-2026,"Individual page marked ""Details coming soon"" as of 24-Aug-2026 scan — no numeric tournament ID assigned yet. Re-check closer to date for fee/prize/reg link."
,MTPB-0143,91 National Championship Series 2026 — SELANGOR Tour,91 Pickleball Clubhouse,,10-Oct-2026,10-Oct-2026,6-Oct-2026,Klang Valley,"91 Pickleball Clubhouse, USJ Subang Jaya",RM230–RM300 per team (Novice early bird RM230/reg RM260; Intermediate early bird RM270/reg RM300),20500,20500,0,"Novice (M/W/Mixed) champion RM2000+1000+500 each; Intermediate (M/Mixed) champion RM3000+1300+700 each — regional-leg prize only, series total exceeds RM110K across all 4 tours + Grand Finale","Novice DUPR <2.5, Intermediate DUPR <3.5","Men's/Women's/Mixed Doubles",,,,,,Baseline,https://my.baseline.live/tournaments/39703412-f09f-4822-84d4-ee462d6b6843,24-Aug-2026,24-Aug-2026,"4th of 4 Regional Tours in the 91 National Championship Series (Malacca 9-May, Skudai 13-Jun, Kota Bharu 15-Aug already run/passed; Grand Finale 7-Nov). Top 4 per category qualify for Grand Finale. Early-bird pricing ends 13-Sep-2026. Registration opened 19-Aug-2026."
