"Status","ID","Tournament Name","Organizer","Title Sponsor","Start Date","End Date","Reg Deadline","State","Venue","Entry Fee (RM) per team","Prize Pool (RM)","Cash Prize (RM)","Merch Value (RM)","Prize Pool Note","Skill Level","Event Type","Age Group","Pick Priority","Editorial Angle","Format Note","Player Note","Source Platform","Registration URL","Date Added","Last Checked","Notes"
"","MTPB-0101","Datuk Tio Huat Guan Pickleball Cup 2026","TBC","Datuk Tio Huat Guan","22-Aug-2026","22-Aug-2026","31-Jul-2026","⚠️ TBC","Bounce & Bloom Pickleball Club","150","3,600","","","RM3,600 total per aggregator listing.","TBC","TBC","","","","","","Sportssync","https://www.sportssync.asia/player/register_tournament_simplified/314","22-Jul-2026","22-Jul-2026","UNVERIFIED — data from ThePickleBase aggregator; verify at sportssync.asia/tournament/314. Venue state unconfirmed — verify Bounce & Bloom location."
"","MTPB-0102","CPC X ZURA SPORT Mixed Double Combine <5.5 (MX822)","CPC","Zura Sport","22-Aug-2026","22-Aug-2026","21-Aug-2026","Klang Valley","Kuala Lumpur (venue TBC — likely Hyprground Kuchai Lama per CPC series)","138","2,840","","","RM2,840 total per aggregator listing.","Novice <3 (combined DUPR <5.5)","Mixed Doubles","","","","CPC minitour series.","","Sportssync","https://www.sportssync.asia/player/register_tournament_simplified/324","22-Jul-2026","22-Jul-2026","UNVERIFIED — data from ThePickleBase aggregator; verify at sportssync.asia/tournament/324."
"","MTPB-0103","91 Pickleball Team Event Championship 2026 by SEIKO","91 Pickleball Clubhouse","SEIKO","25-Aug-2026","25-Aug-2026","22-Aug-2026","Klang Valley","91 Pickleball @ USJ","TBC","29,500","","","RM29,500 total per aggregator listing.","TBC","Team Event","","","","","","Sportssync","https://www.sportssync.asia/player/register_tournament_simplified/307","22-Jul-2026","22-Jul-2026","UNVERIFIED — data from ThePickleBase aggregator; verify at sportssync.asia/tournament/307. Note: 91 series usually runs on Baseline — this one listed on Sportssync; double-check platform."
"","MTPB-0104","PLM: Peakles League Malaysia Team League Age 40+","Peakles League Malaysia","","29-Aug-2026","29-Aug-2026","13-Aug-2026","Johor","Muar, Johor (venue TBC)","TBC","4,100","","","RM4,100 total per aggregator listing.","TBC","Team Event","40+","","","","","Sportssync","https://www.sportssync.asia/player/register_tournament_simplified/318","22-Jul-2026","22-Jul-2026","UNVERIFIED — data from ThePickleBase aggregator; verify at sportssync.asia/tournament/318."
"","MTPB-0105","The Pickle Vibe Clash of the Elites Championship 2.0","Pickle Vibe","","5-Sep-2026","6-Sep-2026","1-Sep-2026","Klang Valley","Kuala Lumpur (venue TBC)","258","27,000","","","RM27,000 total per aggregator listing.","TBC","TBC","","","","Sequel to Clash of Elites (MTPB-0039, Jun-14).","","Sportssync","https://www.sportssync.asia/player/register_tournament_simplified/336","22-Jul-2026","22-Jul-2026","UNVERIFIED — data from ThePickleBase aggregator; verify at sportssync.asia/tournament/336."
"","MTPB-0106","SMASH & CO. Premier Cup 2026","SMASH & CO.","","12-Sep-2026","13-Sep-2026","25-Aug-2026","Johor","ATP Club Johor Bahru","250","32,000","","","RM32,000 total per aggregator listing.","TBC","TBC","","","","","","Sportssync","https://www.sportssync.asia/player/register_tournament_simplified/308","22-Jul-2026","22-Jul-2026","UNVERIFIED — data from ThePickleBase aggregator; verify at sportssync.asia/tournament/308."
"","MTPB-0107","Tekun @ Jom Pickleball Tournament 2026","TBC","Tekun","12-Sep-2026","12-Sep-2026","6-Sep-2026","Johor","Muar, Johor (venue TBC)","188","7,000","","","RM7,000 total per aggregator listing.","TBC","TBC","","","","","","Sportssync","https://www.sportssync.asia/player/register_tournament_simplified/298","22-Jul-2026","22-Jul-2026","UNVERIFIED — data from ThePickleBase aggregator; verify at sportssync.asia/tournament/298."
"","MTPB-0108","2026 Malaysia Day Pickleball Tournament","TBC","","19-Sep-2026","20-Sep-2026","16-Sep-2026","Klang Valley","Kuala Lumpur (venue TBC)","180–200","13,240","","","RM13,240 total per aggregator listing.","TBC","TBC","","","","","","Sportssync","https://www.sportssync.asia/player/register_tournament_simplified/339","22-Jul-2026","22-Jul-2026","UNVERIFIED — data from ThePickleBase aggregator; verify at sportssync.asia/tournament/339. Malaysia Day weekend angle."
"","MTPB-0109","Muar Huang Pickleball Championship 2026 | KCC Quarries Cup","Muar Huang","KCC Quarries","10-Oct-2026","10-Oct-2026","4-Oct-2026","Johor","Muar, Johor (venue TBC)","180","6,400","","","RM6,400 total per aggregator listing.","TBC","TBC","","","","","","Sportssync","https://www.sportssync.asia/player/register_tournament_simplified/330","22-Jul-2026","22-Jul-2026","UNVERIFIED — data from ThePickleBase aggregator; verify at sportssync.asia/tournament/330."
"","MTPB-0110","XPARK Pickleball Competition @ Sport Fiesta","XPARK","","10-Oct-2026","11-Oct-2026","18-Sep-2026","Johor","Kluang, Johor (venue TBC)","200","18,600","","","RM18,600 total per aggregator listing.","TBC","TBC","","","","Part of a Sport Fiesta multi-sport event.","","Sportssync","https://www.sportssync.asia/player/register_tournament_simplified/295","22-Jul-2026","22-Jul-2026","UNVERIFIED — data from ThePickleBase aggregator; verify at sportssync.asia/tournament/295."
